sample_idx,psnr_winner,ssim_winner,pd_winner,mt_winner,direct_error_group_winner,distributional_group_winner,tail_group_winner,configured_physics_group_winner,cnn_gan_cnn_metric_wins,cnn_gan_gan_metric_wins,cnn_gan_ties,baseline_bicubic_metric_wins,baseline_cnn_metric_wins,baseline_gan_metric_wins,baseline_metric_ties,crop_mae_bicubic,crop_mae_cnn,crop_mae_gan,crop_rmse_bicubic,crop_rmse_cnn,crop_rmse_gan,question,groups,crop_panel,full_panel,forced_reason
29,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,0,3,9,3,0,1.9204058881782111,1.965577844454674,2.333739937755745,2.76665227698261,2.808593422736331,3.430315838559206,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_029_crop.png,panels_full/sample_029_full.png,
30,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,0,3,9,3,0,1.8427512835303788,1.9336641990742647,2.2259045049730046,2.7045955401819755,2.8069858064859603,3.312741508766528,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_030_crop.png,panels_full/sample_030_full.png,
31,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,0,2,10,3,0,1.7753956212045159,1.878087655507843,2.1267566141650605,2.645163823318525,2.786290139657914,3.1915272091901734,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_031_crop.png,panels_full/sample_031_full.png,
32,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,0,2,10,3,0,1.6755052361867273,1.7724589203469805,2.0339388813047843,2.5335273064509582,2.7036389247993515,3.096439488590895,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_032_crop.png,panels_full/sample_032_full.png,
33,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,13,2,0,2,10,3,0,1.6306357364427821,1.6754664388929086,2.0057547294939284,2.4824506283652172,2.5481204824723838,3.0690096817214547,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_cnn;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_033_crop.png,panels_full/sample_033_full.png,
34,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,13,2,0,2,10,3,0,1.6176738584268606,1.7170361607830273,2.034068627168085,2.4408739678677334,2.598593537751009,3.091061494874007,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_cnn;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_034_crop.png,panels_full/sample_034_full.png,
35,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,13,2,0,3,9,3,0,1.609917415084783,1.7440834817008,1.9501578722294652,2.4243537006797404,2.591799922530525,2.9236601785580945,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_cnn;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_035_crop.png,panels_full/sample_035_full.png,
36,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,12,3,0,3,8,4,0,1.565984557557822,1.6676535926970972,1.8927789368525554,2.3613144458561592,2.513949004762459,2.7571460018389136,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_cnn;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_036_crop.png,panels_full/sample_036_full.png,
37,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,13,2,0,2,10,3,0,1.5417354156440706,1.6607381915848964,1.8161253031998057,2.3046847672632604,2.4884811094945776,2.683525854946756,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_cnn;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_037_crop.png,panels_full/sample_037_full.png,
38,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,13,2,0,4,8,3,0,1.3703176357688245,1.501570874632962,1.6708424691708934,2.095954004071422,2.2718095750307814,2.4688947226328315,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_cnn;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_038_crop.png,panels_full/sample_038_full.png,
39,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,0,3,9,3,0,1.1022493256286179,1.216397901166165,1.4208720351815283,1.77468655453469,1.9006731193798696,2.1749221990860805,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_039_crop.png,panels_full/sample_039_full.png,
40,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,0,4,8,3,0,0.8787615746867232,0.9576321708296383,1.1470520793822834,1.4631946064752372,1.4976461415308864,1.738816336129421,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_040_crop.png,panels_full/sample_040_full.png,
41,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,0,4,8,3,0,0.6953612066463393,0.795914202825079,0.962388451016377,1.1721195489373826,1.2337706748474773,1.4291833842269708,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;cnn_three_method_metric_majority;direct_cnn;distributional_gan;gan_distributional_cases;mt_cnn_all;pd_gan_all;pd_gan_mt_cnn_all;pd_gan_mt_cnn_control;pd_mt_disagreement;physics_cnn;psnr_cnn;ssim_cnn;tail_cnn,panels_crop/sample_041_crop.png,panels_full/sample_041_full.png,
