sample_idx,psnr_winner,ssim_winner,pd_winner,mt_winner,direct_error_group_winner,distributional_group_winner,tail_group_winner,configured_physics_group_winner,cnn_metric_wins,gan_metric_wins,overall_metric_majority,question,groups,crop_panel,full_panel,forced_reason
12,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,6,9,GAN,Adjacent transition cluster around sample 12: what visual/topological change makes MT favor GAN?,adjacent_cluster_10_13;forced_qualitative_set;gan_distributional_cases;gan_metric_majority;mt_gan_diagnostic;neartie_topology_validator_disagreement;phase1_core_contrast;recommended_visual_inspection_unique;topology_consensus_gan,panels_crop/sample_012_crop.png,panels_full/sample_012_full.png,strong MT-GAN anchor
13,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,GAN,Adjacent transition cluster around sample 12: what visual/topological change makes MT favor GAN?,adjacent_cluster_10_13;candidate_structural_hallucination_signature;cnn_consensus_core;forced_qualitative_set;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_013_crop.png,panels_full/sample_013_full.png,adjacent control after sample 12
14,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,6,9,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_014_crop.png,panels_full/sample_014_full.png,
15,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_015_crop.png,panels_full/sample_015_full.png,
16,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,8,7,CNN,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",forced_qualitative_set;gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,panels_crop/sample_016_crop.png,panels_full/sample_016_full.png,moderate MT-GAN ridge-rich motif
17,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,7,8,GAN,Strong MT-GAN candidate: does GAN preserve meaningful multiscale/topological structure?,forced_qualitative_set;gan_distributional_cases;gan_metric_majority;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,panels_crop/sample_017_crop.png,panels_full/sample_017_full.png,strong MT-GAN anchor
18,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,10,5,CNN,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",forced_qualitative_set;gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,panels_crop/sample_018_crop.png,panels_full/sample_018_full.png,moderate/lower MT-GAN ridge-rich motif
19,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,7,8,GAN,Strong MT-GAN candidate: does GAN preserve meaningful multiscale/topological structure?,forced_qualitative_set;gan_distributional_cases;gan_metric_majority;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,panels_crop/sample_019_crop.png,panels_full/sample_019_full.png,strong MT-GAN anchor
20,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,10,5,CNN,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",forced_qualitative_set;gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,panels_crop/sample_020_crop.png,panels_full/sample_020_full.png,moderate/lower MT-GAN ridge-rich motif
21,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_021_crop.png,panels_full/sample_021_full.png,
22,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,9,6,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_022_crop.png,panels_full/sample_022_full.png,
23,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_023_crop.png,panels_full/sample_023_full.png,
24,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_024_crop.png,panels_full/sample_024_full.png,
25,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,10,5,CNN,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",forced_qualitative_set;gan_distributional_cases;mt_gan_diagnostic;neartie_topology_validator_disagreement;phase1_core_contrast;recommended_visual_inspection_unique;topology_consensus_gan,panels_crop/sample_025_crop.png,panels_full/sample_025_full.png,lower-confidence MT-GAN limitation case
26,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_026_crop.png,panels_full/sample_026_full.png,
27,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,10,5,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;mt_primary_controls;pd_gan_mt_cnn_control;pd_mt_disagreement;phase1_core_contrast;recommended_visual_inspection_unique,panels_crop/sample_027_crop.png,panels_full/sample_027_full.png,
28,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_028_crop.png,panels_full/sample_028_full.png,
29,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;mt_primary_controls;pd_gan_mt_cnn_control;pd_mt_disagreement;phase1_core_contrast,panels_crop/sample_029_crop.png,panels_full/sample_029_full.png,
30,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_030_crop.png,panels_full/sample_030_full.png,
31,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;mt_primary_controls;pd_gan_mt_cnn_control;pd_mt_disagreement;phase1_core_contrast;recommended_visual_inspection_unique,panels_crop/sample_031_crop.png,panels_full/sample_031_full.png,
32,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;mt_primary_controls;pd_gan_mt_cnn_control;pd_mt_disagreement;phase1_core_contrast;recommended_visual_inspection_unique,panels_crop/sample_032_crop.png,panels_full/sample_032_full.png,
33,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,13,2,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_033_crop.png,panels_full/sample_033_full.png,
34,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,13,2,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_034_crop.png,panels_full/sample_034_full.png,
35,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,13,2,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_035_crop.png,panels_full/sample_035_full.png,
36,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,12,3,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_036_crop.png,panels_full/sample_036_full.png,
37,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,13,2,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;mt_primary_controls;pd_gan_mt_cnn_control;pd_mt_disagreement;phase1_core_contrast,panels_crop/sample_037_crop.png,panels_full/sample_037_full.png,
38,CNN,CNN,GAN,CNN,CNN,CNN,CNN,CNN,13,2,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_038_crop.png,panels_full/sample_038_full.png,
39,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;mt_primary_controls;pd_gan_mt_cnn_control;pd_mt_disagreement;phase1_core_contrast,panels_crop/sample_039_crop.png,panels_full/sample_039_full.png,
40,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_040_crop.png,panels_full/sample_040_full.png,
41,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_041_crop.png,panels_full/sample_041_full.png,
42,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_042_crop.png,panels_full/sample_042_full.png,
43,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_043_crop.png,panels_full/sample_043_full.png,
44,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_044_crop.png,panels_full/sample_044_full.png,
45,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_045_crop.png,panels_full/sample_045_full.png,
46,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_046_crop.png,panels_full/sample_046_full.png,
47,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_047_crop.png,panels_full/sample_047_full.png,
48,CNN,CNN,GAN,GAN,CNN,GAN,CNN,CNN,11,4,CNN,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,panels_crop/sample_048_crop.png,panels_full/sample_048_full.png,
49,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_049_crop.png,panels_full/sample_049_full.png,
50,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_050_crop.png,panels_full/sample_050_full.png,
51,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_051_crop.png,panels_full/sample_051_full.png,
52,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,12,3,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_052_crop.png,panels_full/sample_052_full.png,
53,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_053_crop.png,panels_full/sample_053_full.png,
54,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_054_crop.png,panels_full/sample_054_full.png,
55,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_055_crop.png,panels_full/sample_055_full.png,
56,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_056_crop.png,panels_full/sample_056_full.png,
57,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_057_crop.png,panels_full/sample_057_full.png,
58,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,11,4,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_058_crop.png,panels_full/sample_058_full.png,
59,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,10,5,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_059_crop.png,panels_full/sample_059_full.png,
60,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,10,5,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_060_crop.png,panels_full/sample_060_full.png,
61,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,10,5,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_061_crop.png,panels_full/sample_061_full.png,
62,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,9,6,CNN,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,panels_crop/sample_062_crop.png,panels_full/sample_062_full.png,
63,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,9,6,CNN,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,panels_crop/sample_063_crop.png,panels_full/sample_063_full.png,
64,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,8,7,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_064_crop.png,panels_full/sample_064_full.png,
65,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,8,7,CNN,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,panels_crop/sample_065_crop.png,panels_full/sample_065_full.png,
66,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_066_crop.png,panels_full/sample_066_full.png,
67,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,8,7,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_067_crop.png,panels_full/sample_067_full.png,
68,CNN,CNN,GAN,GAN,CNN,GAN,GAN,CNN,8,7,CNN,"MT favors GAN: is GAN structurally closer to GT, or sharper but misaligned?",gan_distributional_cases;mt_gan_diagnostic;recommended_visual_inspection_unique;topology_consensus_gan,panels_crop/sample_068_crop.png,panels_full/sample_068_full.png,
69,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,8,7,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_069_crop.png,panels_full/sample_069_full.png,
70,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,10,5,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_070_crop.png,panels_full/sample_070_full.png,
71,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,8,7,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_071_crop.png,panels_full/sample_071_full.png,
72,CNN,CNN,GAN,CNN,CNN,GAN,CNN,CNN,10,5,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement,panels_crop/sample_072_crop.png,panels_full/sample_072_full.png,
73,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,9,6,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_073_crop.png,panels_full/sample_073_full.png,
74,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,7,8,GAN,GAN wins many domain metrics but MT favors CNN: is GAN distributionally plausible but hierarchically misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;gan_majority_mt_rejects_gan;gan_metric_majority;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_074_crop.png,panels_full/sample_074_full.png,
75,CNN,CNN,GAN,CNN,CNN,GAN,GAN,CNN,8,7,CNN,PD favors GAN but MT favors CNN: are GAN features plausible but hierarchically/spatially misaligned?,candidate_structural_hallucination_signature;cnn_consensus_core;gan_distributional_cases;pd_gan_mt_cnn_control;pd_mt_disagreement;recommended_visual_inspection_unique,panels_crop/sample_075_crop.png,panels_full/sample_075_full.png,
